,car_name,brand,year,mileage,location,transmission,plate_type,rear_camera,sun_roof,auto_retract_mirror,electric_parking_brake,map_navigator,vehicle_stability_control,keyless_push_start,sports_mode,camera_view,power_sliding_door,auto_cruise_control,price,instalment
0,AYLA X 1.2,Daihatsu,2018,11.0,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
1,AGYA TRD SPORTIVO 1.0,Toyota,2015,113.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,82000000,1670000
2,X-TRAIL 2.5,Nissan,2015,118.0,Surabaya,Automatic,odd plate,0,0,0,0,0,0,1,0,1,0,0,169000000,3440000
3,YARIS S TRD 1.5,Toyota,2020,16.0,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,218000000,4440000
4,AGYA G 1.2,Toyota,2019,30.0,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
5,AVANZA G 1.3,Toyota,2021,17.0,Tangerang Selatan,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,180000000,3670000
6,AVANZA G 1.5,Toyota,2022,12.0,Surabaya,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,211000000,4300000
7,OUTLANDER SPORT PX 2.0,Mitsubishi,2016,127.0,Bekasi,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,190000000,3870000
8,BRIO SATYA E 1.2,Honda,2019,33.0,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,140000000,2850000
9,HR-V S 1.5,Honda,2021,33.0,Malang,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,248000000,5050000
10,AGYA G TRD 1.2,Toyota,2018,45.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
11,AYLA R 1.2,Daihatsu,2019,43.0,Depok,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
12,AYLA R 1.2,Daihatsu,2019,57.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,110000000,2240000
13,AYLA R DLX 1.2,Daihatsu,2017,53.0,Jakarta Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
14,AGYA G TRD 1.2,Toyota,2019,46.0,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000
15,ALMAZ LT LUX 1.5,Wuling,2019,58.0,Malang,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,198000000,4030000
16,TERIOS TX 1.5,Daihatsu,2015,119.0,Depok,Manual,odd plate,0,0,1,0,1,0,0,0,0,0,0,141000000,2870000
17,AGYA G TRD 1.2,Toyota,2018,78.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
18,MOBILIO E 1.5,Honda,2018,45.0,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,155000000,3160000
19,AYLA R 1.2,Daihatsu,2018,37.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,108000000,2200000
20,AYLA R 1.2,Daihatsu,2017,62.0,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,105500000,2150000
21,AYLA R 1.2,Daihatsu,2018,47.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,111000000,2260000
22,ERTIGA GL 1.5,Suzuki,2022,178.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,190000000,3870000
23,AYLA R 1.2,Daihatsu,2019,10.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
24,CR-V TURBO 1.5,Honda,2017,75.0,Jakarta Utara,Automatic,even plate,0,0,0,1,0,0,1,0,0,0,0,340000000,6930000
25,CONFERO 2WD 1.5,Wuling,2020,18.0,Malang,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101500000,2069999
26,ALMAZ LT LUX 1.5,Wuling,2019,50.0,Jakarta Timur,Automatic,odd plate,0,1,1,0,0,0,0,0,0,0,0,202000000,4120000
27,LIVINA VL 1.5,Nissan,2019,64.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,197000000,4010000
28,CALYA G 1.2,Toyota,2021,44.0,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,138000000,2810000
29,BRIO SATYA E 1.2,Honda,2018,25.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,135000000,2750000
30,TERIOS R 1.5,Daihatsu,2019,42.0,Bekasi,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,193000000,3930000
31,AVANZA G 1.3,Toyota,2015,81.0,Surabaya,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000
32,HR-V S 1.5,Honda,2018,65.0,Bogor,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,208000000,4240000
33,XPANDER ULTIMATE 1.5,Mitsubishi,2019,73.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,216000000,4400000
34,XPANDER ULTIMATE 1.5,Mitsubishi,2018,77.0,Bandung,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,204000000,4160000
35,AYLA X 1.0,Daihatsu,2016,63.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,89000000,1810000
36,AGYA G TRD 1.2,Toyota,2020,44.0,Depok,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,123000000,2510000
37,AYLA X 1.2,Daihatsu,2019,86.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,107000000,2180000
38,CALYA G 1.2,Toyota,2020,55.0,Bekasi,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,133000000,2710000
39,HR-V E 1.5,Honda,2019,35.0,Jakarta Timur,Automatic,odd plate,0,0,0,1,0,0,1,0,0,0,0,248000000,5050000
40,OUTLANDER SPORT PX 2.0,Mitsubishi,2018,57.0,Jakarta Timur,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,228000000,4650000
41,OUTLANDER SPORT GLS 2.0,Mitsubishi,2014,133.0,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,157000000,3200000
42,BRIO SATYA E 1.2,Honda,2019,35.0,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,142000000,2890000
43,AVANZA G 1.3,Toyota,2016,98.0,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,143000000,2910000
44,OUTLANDER SPORT PX 2.0,Mitsubishi,2016,92.0,Bogor,Automatic,odd plate,0,1,1,0,0,0,0,0,0,0,0,195000000,3970000
45,HR-V SE 1.5,Honda,2018,62.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,254000000,5180000
46,ALMAZ S+T 1.5,Wuling,2019,77.0,Bandung,Automatic,even plate,1,0,0,1,0,0,0,0,0,0,0,199000000,4050000
47,IGNIS GL 1.2,Suzuki,2018,44.0,Bandung,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,111500000,2270000
48,ALMAZ S+T 1.5,Wuling,2019,28.0,Bandung,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,203000000,4139999
49,AYLA R 1.2,Daihatsu,2018,85.0,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
50,TERIOS R 1.5,Daihatsu,2019,41.0,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,193000000,3930000
51,XPANDER ULTIMATE 1.5,Mitsubishi,2019,63.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,213000000,4340000
52,CR-V TURBO 1.5,Honda,2017,65.0,Jakarta Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,335000000,6830000
53,HR-V SE 1.5,Honda,2018,44.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,255000000,5200000
54,KIJANG INNOVA REBORN G 2.0,Toyota,2017,51.0,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,1,0,0,0,242000000,4930000
55,MOBILIO RS 1.5,Honda,2016,84.0,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,155000000,3160000
56,KIJANG INNOVA V 2.0,Toyota,2014,88.0,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,193000000,3930000
57,AGYA G TRD 1.2,Toyota,2019,54.0,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000
58,KIJANG INNOVA G 2.0,Toyota,2016,75.0,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,233000000,4750000
59,IGNIS GL 1.2,Suzuki,2017,79.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,110000000,2240000
60,AGYA GR SPORT 1.2,Toyota,2022,6.0,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,143000000,2910000
61,AYLA R 1.2,Daihatsu,2020,16.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,123000000,2510000
62,MOBILIO E 1.5,Honda,2014,85.0,Tangerang Selatan,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000
63,AYLA R 1.2,Daihatsu,2018,9.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,106000000,2160000
64,TERIOS X DLX 1.5,Daihatsu,2021,30.0,Depok,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,207000000,4220000
65,BRIO SATYA E 1.2,Honda,2020,16.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,147000000,3000000
66,HR-V SE 1.5,Honda,2018,83.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,257000000,5240000
67,BRIO SATYA E 1.2,Honda,2018,36.0,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,139000000,2830000
68,BRIO RS 1.2,Honda,2020,46.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,180000000,3670000
69,FORTUNER VRZ 2.4,Toyota,2016,95.0,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,365000000,7440000
70,CX-5 ELITE 2.5,Mazda,2019,45.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,426000000,8680000
71,GRAND LIVINA XV 1.5,Nissan,2018,98.0,Jakarta Utara,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,148000000,3020000
72,ERTIGA GL 1.5,Suzuki,2019,50.0,Tangerang Selatan,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,163000000,3320000
73,AGYA G 1.0,Toyota,2017,78.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,99000000,2020000
74,AGYA G TRD 1.2,Toyota,2019,56.0,Jakarta Utara,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,128000000,2610000
75,IGNIS GX 1.2,Suzuki,2021,27.0,Bekasi,Manual,odd plate,0,0,1,0,0,0,1,0,0,0,0,148000000,3020000
76,HR-V S 1.5,Honda,2019,61.0,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,231000000,4710000
77,CORTEZ C T LUX 1.5,Wuling,2019,56.0,Surabaya,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,168000000,3420000
78,ALMAZ RS LT LUX + SC CVT 1.5,Wuling,2021,38.0,Tangerang Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,1,0,0,273000000,5560000
79,CONFERO S 1.5,Wuling,2019,33.0,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,104000000,2120000
80,AYLA X 1.0,Daihatsu,2019,74.0,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
81,ALMAZ L TURBO 1.5,Wuling,2019,43.0,Bekasi,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,204000000,4160000
82,AYLA R 1.2,Daihatsu,2019,25.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
83,KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota,2017,90.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,316000000,6440000
84,AGYA G 1.0,Toyota,2014,95.0,Bandung,Manual,even plate,1,0,0,0,0,0,0,0,0,0,0,87000000,1770000
85,BALENO HATCHBACK 1.4,Suzuki,2019,72.0,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,176000000,3590000
86,BALENO HATCHBACK 1.4,Suzuki,2019,41.0,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,160000000,3260000
87,AYLA R DLX 1.2,Daihatsu,2018,22.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
88,XPANDER ULTIMATE 1.5,Mitsubishi,2018,66.0,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
89,XPANDER ULTIMATE 1.5,Mitsubishi,2018,58.0,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
90,AYLA X 1.0,Daihatsu,2018,28.0,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
91,AYLA R 1.2,Daihatsu,2020,55.0,Tangerang Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,136000000,2770000
92,ALMAZ LT LUX 1.5,Wuling,2019,42.0,Jakarta Barat,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,203000000,4139999
93,TERIOS X 1.5,Daihatsu,2015,116.0,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,148000000,3020000
94,ALMAZ LT LUX + SC CVT 1.5,Wuling,2019,64.0,Bogor,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,214000000,4360000
95,AVANZA G 1.5,Toyota,2022,8.0,Malang,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
96,BRIO SATYA E 1.2,Honda,2019,43.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,142000000,2890000
97,CITY RS HATCHBACK 1.5,Honda,2021,19.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,261000000,5320000
98,HR-V E 1.5,Honda,2015,122.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,198000000,4030000
99,AYLA X ELEGANT 1.0,Daihatsu,2017,34.0,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,96000000,1960000
100,KIJANG INNOVA G 2.0,Toyota,2022,25.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,360000000,7330000
101,AYLA R DLX 1.2,Daihatsu,2018,6.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,116000000,2360000
102,AVANZA E 1.3,Toyota,2017,70.0,Surabaya,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,135000000,2750000
103,RUSH S TRD SPORTIVO 1.5,Toyota,2020,53.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,224000000,4560000
104,MOBILIO E 1.5,Honda,2016,66.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,136000000,2770000
105,XENIA R STD 1.3,Daihatsu,2019,34.0,Surabaya,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,160000000,3260000
106,CORTEZ S T LUX 1.5,Wuling,2021,42.0,Tangerang Selatan,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,180000000,3670000
107,CORTEZ L T LUX 1.5,Wuling,2021,32.0,Jakarta Utara,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,206000000,4200000
108,ALMAZ LT LUX 1.5,Wuling,2019,55.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999
109,HR-V E 1.5,Honda,2018,86.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,232000000,4730000
110,FORTUNER VRZ 2.4,Toyota,2016,112.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,365000000,7440000
111,PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2016,95.0,Jakarta Timur,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,390000000,7950000
112,CITY RS HATCHBACK 1.5,Honda,2021,25.0,Bogor,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,1,246000000,5010000
113,XPANDER ULTIMATE 1.5,Mitsubishi,2017,53.0,Bekasi,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,201000000,4099999
114,XL7 ALPHA 1.5,Suzuki,2020,52.0,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
115,AYLA X 1.0,Daihatsu,2020,57.0,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
116,BRIO SATYA E 1.2,Honda,2019,48.0,Bekasi,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000
117,MOBILIO E 1.5,Honda,2019,53.0,Bandung,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,172000000,3500000
118,YARIS G 1.5,Toyota,2019,65.0,Jakarta Barat,Automatic,even plate,0,0,0,0,0,1,0,1,0,0,0,191000000,3890000
119,RUSH S TRD SPORTIVO 1.5,Toyota,2019,75.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,212000000,4320000
120,MOBILIO E 1.5,Honda,2016,82.0,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,145000000,2950000
121,RUSH S 1.5,Toyota,2018,86.0,Bekasi,Manual,odd plate,0,0,1,0,0,1,0,0,0,0,0,201000000,4099999
122,HR-V E 1.5,Honda,2018,41.0,Jakarta Utara,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,232000000,4730000
123,XENIA X 1.3,Daihatsu,2020,36.0,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,163000000,3320000
124,RUSH S GR SPORT 1.5,Toyota,2021,59.0,Jakarta Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,239000000,4870000
125,CR-V 2.0,Honda,2017,104.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,248000000,5050000
126,BRIO SATYA E 1.2,Honda,2019,82.0,Bogor,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,154000000,3140000
127,HR-V SE 1.5,Honda,2019,95.0,Bandung,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,266000000,5420000
128,AYLA R 1.2,Daihatsu,2019,57.0,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
129,CR-V TURBO 1.5,Honda,2017,118.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,1,0,0,0,0,0,0,336000000,6850000
130,YARIS S TRD 1.5,Toyota,2019,31.0,Depok,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,218000000,4440000
131,ROCKY R 1.0,Daihatsu,2021,21.0,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,216000000,4400000
132,ERTIGA GL 1.4,Suzuki,2016,132.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,129000000,2630000
133,KIJANG INNOVA REBORN V 2.0,Toyota,2020,67.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,336000000,6850000
134,BRIO SATYA E 1.2,Honda,2018,55.0,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,142000000,2890000
135,AYLA R 1.2,Daihatsu,2019,18.0,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
136,RUSH S TRD SPORTIVO 1.5,Toyota,2020,70.0,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,232000000,4730000
137,YARIS S TRD 1.5,Toyota,2021,39.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,240000000,4890000
138,ALMAZ LT LUX CVT 1.5,Wuling,2021,10.0,Tangerang Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,0,0,0,241000000,4910000
139,AYLA R DLX 1.2,Daihatsu,2019,34.0,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
140,AGYA G 1.0,Toyota,2016,77.0,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,95000000,1940000
141,AYLA X 1.0,Daihatsu,2017,93.0,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,93000000,1890000
142,AYLA X 1.0,Daihatsu,2018,86.0,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,98000000,2000000
143,CALYA G 1.2,Toyota,2019,40.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000
144,RUSH S TRD SPORTIVO 1.5,Toyota,2018,48.0,Depok,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,207000000,4220000
145,CORTEZ T LUX 1.5,Wuling,2019,73.0,Jakarta Timur,Automatic,odd plate,0,1,0,1,0,0,0,0,0,0,0,178000000,3630000
146,XPANDER EXCEED 1.5,Mitsubishi,2019,35.0,Tangerang Selatan,Manual,even plate,1,0,1,0,0,0,0,0,0,0,0,198000000,4030000
147,XPANDER ULTIMATE 1.5,Mitsubishi,2018,99.0,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
148,IGNIS GL 1.2,Suzuki,2019,26.0,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,119000000,2420000
149,AGYA G TRD 1.2,Toyota,2018,55.0,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000
150,BALENO HATCHBACK 1.4,Suzuki,2017,24.0,Jakarta Selatan,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,152000000,3100000
151,AGYA G TRD 1.0,Toyota,2017,11.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,105000000,2140000
152,AYLA R 1.2,Daihatsu,2018,79.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,113000000,2300000
