car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
AYLA R 1.2,Daihatsu,2018,78.944,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,113000000,2300000
ECLIPSE CROSS ULTIMATE 1.5,Mitsubishi,2020,42.516,Bogor,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,355000000,7230000
BRIO SATYA E 1.2,Honda,2020,64.684,Bekasi,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,159000000,3240000
AGYA GR SPORT 1.2,Toyota,2022,22.803,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,154000000,3140000
AYLA R 1.2,Daihatsu,2020,42.587,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,136000000,2770000
RUSH S TRD 1.5,Toyota,2018,67.595,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
TERIOS R 1.5,Daihatsu,2018,28.869,Tangerang Selatan,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,194000000,3950000
TERIOS X DLX 1.5,Daihatsu,2019,70.234,Jakarta Timur,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,192000000,3910000
HR-V E 1.5,Honda,2016,65.219,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,210000000,4280000
HR-V E 1.5,Honda,2016,74.516,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,211000000,4300000
HR-V E PLUS 1.5,Honda,2018,71.135,Bogor,Automatic,even plate,0,0,0,1,0,0,0,0,0,0,1,255000000,5200000
2 GT SKYACTIV 1.5,Mazda,2015,94.312,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,184000000,3750000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,66.029,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,219000000,4460000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,103.601,Malang,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,248000000,5050000
AGYA G TRD 1.2,Toyota,2018,30.738,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,120000000,2440000
AGYA G TRD 1.2,Toyota,2018,45.824,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,121000000,2470000
X-TRAIL 2.0,Nissan,2016,117.889,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,1,0,0,190000000,3870000
HR-V E 1.5,Honda,2018,54.437,Depok,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,236000000,4810000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,51.86,Depok,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
BRIO RS 1.2,Honda,2020,28.884,Tangerang Selatan,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,183000000,3730000
BRIO RS 1.2,Honda,2018,21.701,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,151000000,3080000
ERTIGA GX 1.4,Suzuki,2017,110.889,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,149000000,3040000
ROCKY R 1.0,Daihatsu,2021,22.709,Jakarta Timur,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,218000000,4440000
RUSH S TRD SPORTIVO 1.5,Toyota,2018,51.41,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,213000000,4340000
SIENTA Q 1.5,Toyota,2018,64.808,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,199000000,4050000
CONFERO S L LUX 1.5,Wuling,2020,12.79,Bandung,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,127000000,2590000
SX4 S-CROSS 1.5,Suzuki,2017,96.199,Depok,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,169000000,3440000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,67.803,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
ERTIGA SPORT GT 1.5,Suzuki,2019,78.472,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,196000000,3990000
IGNIS GX 1.2,Suzuki,2017,103.106,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,129000000,2630000
SIGRA R DLX 1.2,Daihatsu,2016,99.317,Bogor,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,111000000,2260000
SIGRA D 1.0,Daihatsu,2019,29.119,Surabaya,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
2 R SKYACTIV 1.5,Mazda,2016,83.081,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,174000000,3550000
TERIOS X DLX 1.5,Daihatsu,2018,41.027,Tangerang Selatan,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,185000000,3770000
HR-V E PLUS 1.5,Honda,2018,73.712,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,256000000,5220000
HR-V E PLUS 1.5,Honda,2018,27.308,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,258000000,5260000
XPANDER SPORT 1.5,Mitsubishi,2019,70.969,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,210000000,4280000
BR-V E 1.5,Honda,2016,119.436,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,164000000,3340000
CITY E 1.5,Honda,2017,61.556,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,205000000,4179999
KIJANG INNOVA REBORN G 2.0,Toyota,2018,74.52,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,261000000,5320000
AYLA R 1.2,Daihatsu,2018,81.739,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,120000000,2440000
BRIO RS 1.2,Honda,2018,83.538,Bandung,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,151000000,3080000
BRIO SATYA E 1.2,Honda,2020,52.723,Bandung,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,162000000,3300000
HR-V E PLUS 1.5,Honda,2018,94.946,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000
CITY RS HATCHBACK 1.5,Honda,2021,22.67,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000
HR-V E 1.5,Honda,2019,68.99,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,261000000,5320000
2 R SKYACTIV 1.5,Mazda,2015,126.721,Bekasi,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,162000000,3300000
2 R SKYACTIV 1.5,Mazda,2015,117.682,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,166000000,3380000
AGYA G 1.2,Toyota,2022,9.881,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,136000000,2770000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,61.532,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,212000000,4320000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,47.18,Tangerang Selatan,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
LIVINA VL 1.5,Nissan,2019,83.691,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,199000000,4050000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,76.928,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,221000000,4500000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,57.056,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
TERIOS R DLX 1.5,Daihatsu,2019,72.957,Malang,Automatic,even plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999
XENIA R DLX 1.3,Daihatsu,2013,140.903,Bogor,Automatic,even plate,1,0,0,0,0,0,0,0,0,0,0,106000000,2160000
BR-V E PRESTIGE 1.5,Honda,2018,85.65,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,182000000,3710000
KIJANG INNOVA G LUX 2.0,Toyota,2010,169.237,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,129000000,2630000
GRAND LIVINA XV 1.5,Nissan,2014,142.175,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
SIGRA R DLX 1.2,Daihatsu,2017,122.574,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,98000000,2000000
HR-V E 1.5,Honda,2018,92.961,Bogor,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,224000000,4560000
MOBILIO RS 1.5,Honda,2015,73.033,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,139000000,2830000
CALYA G 1.2,Toyota,2016,59.581,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
AYLA R DLX 1.2,Daihatsu,2019,80.201,Bandung,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000
SIGRA R STD 1.2,Daihatsu,2018,140.428,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
RUSH G 1.5,Toyota,2017,89.405,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,161000000,3280000
ERTIGA GL 1.4,Suzuki,2013,77.093,Bandung,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,111000000,2260000
GO+ PANCA T 1.2,Datsun,2017,46.497,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,77000000,1570000
CALYA G 1.2,Toyota,2018,169.351,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,112000000,2280000
ROCKY R 1.0,Daihatsu,2021,24.619,Tangerang Selatan,Manual,odd plate,0,0,1,0,0,1,0,0,0,0,0,189000000,3850000
XENIA X STD 1.3,Daihatsu,2012,44.746,Jakarta Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
RAIZE TURBO G 1.0,Toyota,2022,19.489,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,216000000,4400000
KIJANG INNOVA Q 2.0,Toyota,2018,53.528,Bogor,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,314000000,6400000
ERTIGA GX 1.4,Suzuki,2018,79.198,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,157000000,3200000
AVANZA VELOZ 1.3,Toyota,2016,172.865,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,139000000,2830000
MOBILIO E 1.5,Honda,2017,59.147,Bekasi,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,157000000,3200000
XPANDER SPORT 1.5,Mitsubishi,2018,58.752,Bekasi,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,201000000,4099999
XPANDER ULTIMATE 1.5,Mitsubishi,2018,93.142,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
CX-3 GT 2.0,Mazda,2019,32.13,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,323000000,6580000
BRIO E 1.2,Honda,2016,48.751,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000
PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,Mitsubishi,2018,73.296,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,428000000,8720000
KIJANG INNOVA REBORN V 2.0,Toyota,2017,34.96,Bogor,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,278000000,5660000
ERTIGA SPORT GT 1.5,Suzuki,2019,18.426,Depok,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,186000000,3790000
AGYA G TRD SPORTIVO 1.2,Toyota,2021,36.037,Bandung,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,145000000,2950000
XL7 ALPHA 1.5,Suzuki,2021,26.534,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,221000000,4500000
BALENO HATCHBACK 1.4,Suzuki,2018,79.665,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,165000000,3360000
CITY RS HATCHBACK 1.5,Honda,2021,46.694,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000
KIJANG INNOVA REBORN G 2.0,Toyota,2018,80.809,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,255000000,5200000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,82.596,Jakarta Utara,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
ALMAZ S+T SMART ENJOY 1.5,Wuling,2021,39.239,Tangerang Selatan,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,220000000,4480000
IGNIS GX AGS 1.2,Suzuki,2018,125.114,Jakarta Pusat,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,125000000,2550000
CRETA PRIME 1.5,Hyundai,2022,28.896,Bandung,Automatic,even plate,0,1,0,0,0,0,1,0,0,0,0,319000000,6500000
XPANDER EXCEED 1.5,Mitsubishi,2018,51.387,Bogor,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,194000000,3950000
RAIZE GR SPORT 1.0,Toyota,2021,18.599,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,224000000,4560000
KIJANG INNOVA V 2.0,Toyota,2016,104.055,Tangerang Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,255000000,5200000
ERTIGA GX 1.4,Suzuki,2017,28.466,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,154000000,3140000
ERTIGA DREZA 1.4,Suzuki,2017,77.648,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,155000000,3160000
BALENO HATCHBACK 1.4,Suzuki,2019,44.979,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,181000000,3690000
BRIO RS 1.2,Honda,2017,61.782,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,143000000,2910000
BRIO SATYA E 1.2,Honda,2019,46.912,Jakarta Selatan,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000
BR-V E 1.5,Honda,2017,109.995,Bogor,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,169000000,3440000
SX4 S-CROSS 1.5,Suzuki,2016,91.268,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,158000000,3220000
MOBILIO RS 1.5,Honda,2014,120.026,Tangerang Selatan,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,146000000,2970000
SANTA FE CRDI 2.2,Hyundai,2018,52.497,Bekasi,Automatic,odd plate,0,1,0,1,0,0,0,0,0,0,0,417000000,8500000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,51.925,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,212000000,4320000
X-TRAIL 2.5,Nissan,2015,92.536,Jakarta Timur,Automatic,odd plate,0,0,0,0,1,0,0,0,1,0,0,199000000,4050000
BRIO SATYA E 1.2,Honda,2017,24.658,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,137000000,2790000
BRIO SATYA E 1.2,Honda,2019,55.43,Jakarta Timur,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,156000000,3180000
BRIO SATYA E 1.2,Honda,2014,40.516,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,106000000,2160000
CX-5 GT 2.5,Mazda,2019,16.763,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,424000000,8640000
AGYA G 1.0,Toyota,2015,48.952,Bandung,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,110000000,2240000
MOBILIO RS 1.5,Honda,2020,70.213,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,193000000,3930000
BRIO SATYA E 1.2,Honda,2020,22.059,Bekasi,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,162000000,3300000
XL7 BETA 1.5,Suzuki,2021,42.044,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
XPANDER ULTIMATE 1.5,Mitsubishi,2017,68.413,Bekasi,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,203000000,4139999
ERTIGA SPORT GT 1.5,Suzuki,2019,25.127,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,1,0,0,0,0,187000000,3810000
BRIO RS 1.2,Honda,2020,55.434,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,181000000,3690000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,50.764,Depok,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,212000000,4320000
CALYA G 1.2,Toyota,2019,90.659,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,132000000,2690000
KIJANG INNOVA V 2.0,Toyota,2013,158.669,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,178000000,3630000
CORTEZ S T LUX 1.5,Wuling,2021,26.527,Bandung,Automatic,odd plate,1,0,0,0,0,0,1,0,0,0,0,179000000,3650000
BRIO SATYA E 1.2,Honda,2020,22.928,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,163000000,3320000
CX-5 ELITE 2.5,Mazda,2017,44.889,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,373000000,7600000
SIENTA Q 1.5,Toyota,2017,112.207,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,186000000,3790000
BRIO SATYA E 1.2,Honda,2018,35.961,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,149000000,3040000
KIJANG INNOVA VENTURER 2.0,Toyota,2018,97.032,Bekasi,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,324000000,6600000
CONFERO S L 1.5,Wuling,2019,67.69,Tangerang Selatan,Manual,even plate,1,0,1,0,0,0,0,0,0,0,0,119000000,2420000
XPANDER EXCEED 1.5,Mitsubishi,2018,81.128,Tangerang Selatan,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,191000000,3890000
KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota,2017,79.013,Depok,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,317000000,6460000
YARIS S TRD 1.5,Toyota,2020,61.487,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,228000000,4650000
BRIO SATYA E 1.2,Honda,2016,97.128,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,127000000,2590000
XPANDER SPORT 1.5,Mitsubishi,2018,80.941,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,198000000,4030000
ERTIGA GX 1.5,Suzuki,2019,78.531,Bogor,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,183000000,3730000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,89.457,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,251000000,5110000
SIENTA V 1.5,Toyota,2017,111.609,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,174000000,3550000
BRIO RS 1.2,Honda,2020,50.261,Bogor,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,185000000,3770000
BRIO SATYA E 1.2,Honda,2020,43.337,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,162000000,3300000
BR-V PRESTIGE 1.5,Honda,2019,41.412,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
CITY RS HATCHBACK 1.5,Honda,2021,30.492,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,270000000,5500000
HR-V E PLUS 1.5,Honda,2020,42.85,Jakarta Barat,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,282000000,5750000
IGNIS GX 1.2,Suzuki,2017,88.669,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,120000000,2440000
X-TRAIL 2.5,Nissan,2016,110.956,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,210000000,4280000
ERTIGA DREZA GS 1.4,Suzuki,2016,95.539,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,158000000,3220000
BIANTE SKYACTIV 2.0,Mazda,2017,48.097,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,223000000,4540000
GRAND LIVINA SV 1.5,Nissan,2015,104.054,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,116000000,2360000
CX-3 TOURING 2.0,Mazda,2018,73.975,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,278000000,5660000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,60.96,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,214000000,4360000
MARCH 1.2,Nissan,2017,57.201,Bandung,Automatic,even plate,1,0,0,0,0,0,0,0,0,0,0,121000000,2470000
XENIA R 1.3,Daihatsu,2017,109.214,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,138000000,2810000
XPANDER SPORT 1.5,Mitsubishi,2017,58.277,Bekasi,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,197000000,4010000
ERTIGA GX 1.5,Suzuki,2020,35.385,Bekasi,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,197000000,4010000
